i_max, j_max, k_max
6000, 6000, 300

Extrema { x_min: -24.87702, x_max: 24.877022, y_min: -4.944555, y_max: 4.944555, z_min: -2.9968526, z_max: 3.9958036 }

ExtremaIJK { x_min: IJK { i: 2936, j: 3006, k: 150 }, x_max: IJK { i: 3060, j: 3001, k: 151 }, y_min: IJK { i: 2955, j: 2985, k: 147 }, y_max: IJK { i: 2943, j: 3015, k: 141 }, z_min: IJK { i: 2953, j: 2995, k: 141 }, z_max: IJK { i: 3014, j: 3001, k: 162 } }

Stacking pos:
[-144, -143, -142, -141, -140, -139, -138, -137, -136, -135, -134, -133, -132, -131, -130, -129, -128, -127, -126, -125, -124, -123, -122, -121, -120, -119, -118, -117, -116, -115, -114, -113, -112, -111, -110, -109, -108, -107, -106, -105, -104, -103, -102, -101, -100, -99, -98, -97, -96, -95, -94, -93, -92, -91, -90, -89, -88, -87, -86, -85, -84, -83, -82, -81, -80, -79, -78, -77, -76, -75, -74, -73, -72, -71, -70, -69, -68, -67, -66, -65, -64, -63, -62, -61, -60, -59, -58, -57, -56, -55, -54, -53, -52, -51, -50, -49, -48, -47, -46, -45, -44, -43, -42, -41, -40, -39, -38, -37, -36, -35, -34, -33, -32, -31, -30, -29, -28, -27, -26, -25, -24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 2, 1, 0, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147]

Stacking shift_j:
[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]

Bulk atoms:
a, b, c, d, surface
-45, -11, -9, 1, 1
-44, -11, -9, 1, 1
-43, -11, -9, 1, 1
-42, -11, -9, 1, 1
-41, -11, -9, 1, 1
-40, -11, -9, 1, 1
-39, -11, -9, 1, 1
-38, -11, -9, 1, 1
-37, -11, -9, 1, 1
-36, -11, -9, 1, 1
-35, -11, -9, 1, 1
-34, -11, -9, 1, 1
-33, -11, -9, 1, 1
-32, -11, -9, 1, 1
-31, -11, -9, 1, 1
-30, -11, -9, 1, 1
-29, -11, -9, 1, 1
-28, -11, -9, 1, 1
-27, -11, -9, 1, 1
-26, -11, -9, 1, 1
-25, -11, -9, 1, 1
-24, -11, -9, 1, 1
-23, -11, -9, 1, 1
-22, -11, -9, 1, 1
-21, -11, -9, 1, 1
-20, -11, -9, 1, 1
-19, -11, -9, 1, 1
-18, -11, -9, 1, 1
-17, -11, -9, 1, 1
-16, -11, -9, 1, 1
-15, -11, -9, 1, 1
-14, -11, -9, 1, 1
-13, -11, -9, 1, 1
-12, -11, -9, 1, 1
-11, -11, -9, 1, 1
-10, -11, -9, 1, 1
-9, -11, -9, 1, 1
30, -11, -9, 1, 1
31, -11, -9, 1, 1
32, -11, -9, 1, 1
33, -11, -9, 1, 1
34, -11, -9, 1, 1
35, -11, -9, 1, 1
36, -11, -9, 1, 1
37, -11, -9, 1, 1
38, -11, -9, 1, 1
39, -11, -9, 1, 1
40, -11, -9, 1, 1
41, -11, -9, 1, 1
42, -11, -9, 1, 1
43, -11, -9, 1, 1
44, -11, -9, 1, 1
45, -11, -9, 1, 1
46, -11, -9, 1, 1
47, -11, -9, 1, 1
48, -11, -9, 1, 1
49, -11, -9, 1, 1
50, -11, -9, 1, 1
51, -11, -9, 1, 1
52, -11, -9, 1, 1
53, -11, -9, 1, 1
54, -11, -9, 1, 1
55, -11, -9, 1, 1
56, -11, -9, 1, 1
57, -11, -9, 1, 1
58, -11, -9, 1, 1
59, -11, -9, 1, 1
60, -11, -9, 1, 1
61, -11, -9, 1, 1
62, -11, -9, 1, 1
63, -11, -9, 1, 1
64, -11, -9, 1, 1
-48, -10, -9, 1, 1
-47, -10, -9, 1, 1
-46, -10, -9, 1, 1
-45, -10, -9, 1, 1
-44, -10, -9, 1, 1
-43, -10, -9, 1, 1
-42, -10, -9, 1, 1
-41, -10, -9, 1, 1
-40, -10, -9, 1, 1
-39, -10, -9, 1, 1
-38, -10, -9, 1, 1
-37, -10, -9, 1, 1
-36, -10, -9, 1, 1
-35, -10, -9, 1, 1
-34, -10, -9, 1, 1
-33, -10, -9, 1, 1
-32, -10, -9, 1, 1
-31, -10, -9, 1, 1
-30, -10, -9, 1, 1
-29, -10, -9, 1, 1
-28, -10, -9, 1, 1
-27, -10, -9, 1, 1
-26, -10, -9, 1, 1
-25, -10, -9, 1, 1
-24, -10, -9, 1, 1
-23, -10, -9, 1, 1
-22, -10, -9, 1, 1
-21, -10, -9, 1, 1
-20, -10, -9, 1, 1
-19, -10, -9, 1, 1
-18, -10, -9, 1, 1
-17, -10, -9, 1, 1
-16, -10, -9, 1, 1
-15, -10, -9, 1, 1
-14, -10, -9, 1, 1
-13, -10, -9, 1, 1
-12, -10, -9, 1, 1
-11, -10, -9, 1, 1
-10, -10, -9, 1, 1
-9, -10, -9, 1, 1
-8, -10, -9, 1, 1
-7, -10, -9, 1, 1
27, -10, -9, 1, 1
28, -10, -9, 1, 1
29, -10, -9, 1, 1
30, -10, -9, 1, 1
31, -10, -9, 1, 1
32, -10, -9, 1, 1
33, -10, -9, 1, 1
34, -10, -9, 1, 1
35, -10, -9, 1, 1
36, -10, -9, 1, 1
37, -10, -9, 1, 1
38, -10, -9, 1, 1
39, -10, -9, 1, 1
40, -10, -9, 1, 1
41, -10, -9, 1, 1
42, -10, -9, 1, 1
43, -10, -9, 1, 1
44, -10, -9, 1, 1
45, -10, -9, 1, 1
46, -10, -9, 1, 1
47, -10, -9, 1, 1
48, -10, -9, 1, 1
49, -10, -9, 1, 1
50, -10, -9, 1, 1
51, -10, -9, 1, 1
52, -10, -9, 1, 1
53, -10, -9, 1, 1
54, -10, -9, 1, 1
55, -10, -9, 1, 1
56, -10, -9, 1, 1
